"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20251110 127635 11,500 1,737","11/10/2025","11/10/2025","Debit","-115.00000","","220135423","VENMO *KAMBER SCHMIDT 8558124430   NY","Financial","Debit Card","2765.51000","","POS"
"20251110 127635 6,873 1,736","11/10/2025","11/10/2025","Debit","-68.73000","","220124174","DOMINION ENERGY BILLPAY - BILLPAY","","ACH","2880.51000","","External W/D"
"20251107 127635 22,960 1,735","11/7/2025","11/7/2025","Credit","229.60000","","220033354","AMERICAN CONTRAC  - ELEC PAYMT  AID01","","ACH","2949.24000","","External Deposit"
"20251105 127635 241,861 1,734","11/5/2025","11/5/2025","Debit","-2418.61000","","219955185","GATES-6003OP 805-699-2040 - WEB PMTS","","ACH","2719.64000","","External W/D"
"20251030 127635 217,284 1,733","10/30/2025","10/30/2025","Credit","2172.84000","","219704499","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","5138.25000","","External Deposit"
"20251026 127635 106 1,732","10/26/2025","10/27/2025","Debit","-1.06000","","219582603","APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO      CAUS","","Debit Card","2965.41000","","POS"
"20251020 127635 4,000 1,731","10/20/2025","10/20/2025","Debit","-40.00000","","219318698","CHASE CREDIT CRD  - AUTOPAY","","ACH","2966.47000","","External W/D"
"20251020 127635 56,773 1,730","10/20/2025","10/20/2025","Debit","-567.73000","","219318696","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","3006.47000","","External W/D"
"20251020 127635 150,000 1,729","10/20/2025","10/20/2025","Debit","-1500.00000","","219318697","CHASE CREDIT CRD  - EPAY","","ACH","3574.20000","","External W/D"
"20251016 127635 217,285 1,728","10/16/2025","10/16/2025","Credit","2172.85000","","219184052","AMERICAN CONTRAC ******5906        55 - PAYROLL","","ACH","5074.20000","","External Deposit"
"20251008 127635 5,977 1,727","10/8/2025","10/8/2025","Debit","-59.77000","","218872883","DOMINION ENERGY BILLPAY - BILLPAY","","ACH","2901.35000","","External W/D"
"20251006 127635 233,400 1,726","10/6/2025","10/6/2025","Debit","-2334.00000","","218774650","GATES-6003OP 805-699-2040 - WEB PMTS","","ACH","2961.12000","","External W/D"
"20251003 127635 120,462 1,725","10/3/2025","10/3/2025","Debit","-1204.62000","","218672183","DISCOVER DC PYMNTS DCIDPIINT - E-PAYMENT","Shopping","ACH","5295.12000","","External W/D"
"20251002 127635 412,949 1,724","10/2/2025","10/2/2025","Credit","4129.49000","","218622855","AMERICAN CONTRAC 4100075043        55 - PAYROLL","","ACH","6499.74000","","External Deposit"
"20250924 127635 2,940 1,723","9/24/2025","9/24/2025","Credit","29.40000","","218275436","VENMO 250923PPZB1W - CASHOUT","","ACH","2370.25000","","External Deposit"
"20250924 127635 12,000 1,722","9/24/2025","9/24/2025","Debit","-120.00000","","218272410","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","2340.85000","","POS"
"20250923 127635 100,000 1,721","9/23/2025","9/23/2025","Debit","-1000.00000","","218234812","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2460.85000","","External W/D"
"20250923 127635 7,000 1,720","9/23/2025","9/23/2025","Credit","70.00000","","218234813","Back Market Inc XFA285N757F2TCX - PAYOUT  TRN*1*870GGI68EWAJACZ0**870GGI68EWAJACZ0\RMR*IK*BACKMARKETTRADE-IN\ 870GGI68EWAJACZ","","ACH","3460.85000","","External Deposit"
"20250921 127635 106 1,719","9/21/2025","9/21/2025","Debit","-1.06000","","218172045","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","3390.85000","","POS"
"20250918 127635 233,928 1,718","9/18/2025","9/18/2025","Credit","2339.28000","","218052595","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","3391.91000","","External Deposit"
"20250915 127635 5,000 1,717","9/15/2025","9/15/2025","Debit","-50.00000","","217921174","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","1052.63000","","POS"
"20250904 127635 233,400 1,716","9/4/2025","9/4/2025","Debit","-2334.00000","","217484381","GATES-6003OP 805-699-2040 - WEB PMTS","","ACH","1102.63000","","External W/D"
"20250902 127635 232,509 1,715","9/2/2025","9/2/2025","Credit","2325.09000","","217380991","SCHWAB BROKERAGE  - MONEYLINK","","ACH","3436.63000","","External Deposit"
"20250827 127635 345 1,714","8/27/2025","8/28/2025","Debit","-3.45000","","217184161","PMUSA 153020 RI 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","1111.54000","","POS"
"20250823 127635 445 1,713","8/23/2025","8/24/2025","Debit","-4.45000","","217033120","PMUSA 153020 RI 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","1114.99000","","POS"
"20250823 127635 8,459 1,712","8/23/2025","8/23/2025","Debit","-84.59000","","217000118","YSI*THE PENNY A 2 W Marshall StreetRICHMOND       VAUS","Home","Debit Card","1119.44000","","POS"
"20250821 127635 105,220 1,711","8/21/2025","8/22/2025","Debit","-1052.20000","","216957497","YSI*THE PENNY A 2 W Marshall StreetRICHMOND       VAUS","Home","Debit Card","1204.03000","","POS"
"20250821 127635 5,419 1,710","8/21/2025","8/21/2025","Credit","54.19000","","216940495","MC Deposit","","Deposit","2256.23000","","Descriptive Deposit"
"20250821 127635 106 1,709","8/21/2025","8/21/2025","Debit","-1.06000","","216937286","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","2202.04000","","POS"
"20250813 127635 332,904 1,708","8/13/2025","8/13/2025","Debit","-3329.04000","","216604231","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2203.10000","","External W/D"
"20250811 127635 32,316 1,707","8/11/2025","8/11/2025","Debit","-323.16000","","216510646","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","5532.14000","","External W/D"
"20250808 127635 50,000 1,706","8/8/2025","8/8/2025","Debit","-500.00000","","216405007","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","5855.30000","","POS"
"20250807 127635 2,675 1,705","8/7/2025","8/7/2025","Debit","-26.75000","","216366481","PETSCREENING SER  - PETSCREENI","","ACH","6355.30000","","External W/D"
"20250807 127635 499,900 1,704","8/7/2025","8/7/2025","Credit","4999.00000","","216366480","VENMO 250806PPZ3P4 - CASHOUT","","ACH","6382.05000","","External Deposit"
"20250807 127635 103,800 1,703","8/7/2025","8/7/2025","Credit","1038.00000","","216366479","VENMO 250806PPZ3P4 - CASHOUT","","ACH","1383.05000","","External Deposit"
"20250807 127635 20,395 1,702","8/7/2025","8/7/2025","Debit","-203.95000","","216366478","YSI*THE PENNY A 2 W Marshall StreetRICHMOND       VAUS","Home","Debit Card","345.05000","","POS"
"20250806 127635 3,800 1,701","8/6/2025","8/6/2025","Debit","-38.00000","","216328071","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","549.00000","","POS"
"20250806 127635 71,048 1,700","8/6/2025","8/6/2025","Debit","-710.48000","","216321156","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","587.00000","","External W/D"
"20250805 127635 6,395 1,699","8/5/2025","8/6/2025","Debit","-63.95000","","216317069","YSI*THE PENNY A 2 W Marshall StreetRICHMOND       VAUS","Home","Debit Card","1297.48000","","POS"
"20250731 127635 2,000 1,698","7/31/2025","7/31/2025","Debit","-20.00000","","216065674","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","1361.43000","","POS"
"20250721 127635 106 1,697","7/21/2025","7/21/2025","Debit","-1.06000","","215683252","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","1381.43000","","POS"
"20250721 127635 29,538 1,696","7/21/2025","7/21/2025","Debit","-295.38000","","215664889","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","1382.49000","","External W/D"
"20250721 127635 12,370 1,695","7/21/2025","7/21/2025","Credit","123.70000","","215664890","VENMO 250720PPZLGV - CASHOUT","","ACH","1677.87000","","External Deposit"
"20250714 127635 32,384 1,694","7/14/2025","7/14/2025","Debit","-323.84000","","215389369","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","1554.17000","","External W/D"
"20250707 127635 36,737 1,693","7/7/2025","7/7/2025","Debit","-367.37000","","215126923","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","1878.01000","","External W/D"
"20250702 127635 16,500 1,692","7/2/2025","7/2/2025","Debit","-165.00000","","214946734","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","2245.38000","","POS"
"20250627 127635 20,000 1,691","6/27/2025","6/27/2025","Debit","-200.00000","","214740954","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","2410.38000","","POS"
"20250625 127635 51,400 1,690","6/25/2025","6/25/2025","Credit","514.00000","","214660752","VENMO 250624PPZM3V - CASHOUT","","ACH","2610.38000","","External Deposit"
"20250623 127635 20,300 1,689","6/23/2025","6/23/2025","Debit","-203.00000","","214611278","MIT FEDERAL C.U 84 MASSACHUSETTS AVCAMBRIDGE      MAUS","Financial","ATM","2096.38000","","ATM Withdrawal"
"20250621 127635 106 1,687","6/21/2025","6/21/2025","Debit","-1.06000","","214535094","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","2299.38000","","POS"
"20250618 127635 172,572 1,686","6/18/2025","6/18/2025","Debit","-1725.72000","","214405525","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2300.44000","","External W/D"
"20250617 127635 880 1,685","6/17/2025","6/17/2025","Debit","-8.80000","","214379311","PY *SMOKEY ROW 840 SCHOOL ST      CARLISLE       IAUS","Food & Dining","Debit Card","4026.16000","","POS"
"20250616 127635 3,770 1,684","6/16/2025","6/16/2025","Debit","-37.70000","","214337848","PERKINS RESTAUR 325 S DUFF AVE     AMES           IAUS","Food & Dining","Debit Card","4034.96000","","POS"
"20250616 127635 70,303 1,683","6/16/2025","6/16/2025","Debit","-703.03000","","214316737","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","4072.66000","","External W/D"
"20250615 127635 742 1,682","6/15/2025","6/16/2025","Debit","-7.42000","","214312509","SQ *THE DOT 127 Dotson Drive   AMES           IAUS","Food & Dining","Debit Card","4775.69000","","POS"
"20250614 127635 19,948 1,681","6/14/2025","6/14/2025","Debit","-199.48000","","214271318","DELTA 1030 DELTA BLVD    DELTA.COM      CAUS","Travel","Debit Card","4783.11000","","POS"
"20250614 127635 19,948 1,680","6/14/2025","6/14/2025","Debit","-199.48000","","214271317","DELTA 1030 DELTA BLVD    DELTA.COM      CAUS","Travel","Debit Card","4982.59000","","POS"
"20250613 127635 3,382 1,679","6/13/2025","6/13/2025","Debit","-33.82000","","214250389","WAL-MART #749      AMES           IAUS","Food & Dining","Debit Card","5182.07000","","POS"
"20250611 127635 775 1,678","6/11/2025","6/12/2025","Debit","-7.75000","","214171749","CAFEBEAUDELAIRE 2504 Lincoln Way.  AMES           IAUS","Food & Dining","Debit Card","5215.89000","","POS"
"20250606 127635 50,419 1,677","6/6/2025","6/6/2025","Debit","-504.19000","","213951479","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","5223.64000","","External W/D"
"20250606 127635 300,000 1,676","6/6/2025","6/6/2025","Credit","3000.00000","","213951480","VENMO 250605PPZ5ES - CASHOUT","","ACH","5727.83000","","External Deposit"
"20250603 127635 290 1,675","6/3/2025","6/4/2025","Debit","-2.90000","","213862030","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","2727.83000","","POS"
"20250603 127635 1,000 1,674","6/3/2025","6/3/2025","Debit","-10.00000","","213838960","ISU REC SERVICE 1180 STATE GYM     AMES           IAUS","Education","Debit Card","2730.73000","","POS"
"20250603 127635 42,661 1,673","6/3/2025","6/3/2025","Debit","-426.61000","","213822447","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2740.73000","","External W/D"
"20250603 127635 57,500 1,672","6/3/2025","6/3/2025","Debit","-575.00000","","213822446","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","3167.34000","","POS"
"20250529 127635 700 1,671","5/29/2025","5/29/2025","Debit","-7.00000","","213603256","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","3742.34000","","POS"
"20250528 127635 80,699 1,670","5/28/2025","5/28/2025","Debit","-806.99000","","213558972","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","3749.34000","","External W/D"
"20250526 127635 2,000 1,669","5/26/2025","5/26/2025","Debit","-20.00000","","213488445","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","4556.33000","","POS"
"20250521 127635 201,700 1,668","5/21/2025","5/21/2025","Credit","2017.00000","","213341090","VENMO 250521PPZ3C0 - CASHOUT","","ACH","4576.33000","","External Deposit"
"20250521 127635 106 1,667","5/21/2025","5/21/2025","Debit","-1.06000","","213333047","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","2559.33000","","POS"
"20250521 127635 42,983 1,666","5/21/2025","5/21/2025","Debit","-429.83000","","213315137","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2560.39000","","External W/D"
"20250520 127635 5,000 1,665","5/20/2025","5/20/2025","Credit","50.00000","","213295248","MC Deposit","","Deposit","2990.22000","","Descriptive Deposit"
"20250520 127635 10,000 1,664","5/20/2025","5/20/2025","Credit","100.00000","","213295246","MC Deposit","","Deposit","2940.22000","","Descriptive Deposit"
"20250520 127635 100,000 1,663","5/20/2025","5/20/2025","Credit","1000.00000","","213295244","MC Deposit","","Deposit","2840.22000","","Descriptive Deposit"
"20250520 127635 8,000 1,662","5/20/2025","5/20/2025","Debit","-80.00000","","213280291","Vrbo Fee 1011 W 5TH ST STE 3512-759-0902   TXUS","Home","Debit Card","1840.22000","","POS"
"20250520 127635 94,274 1,661","5/20/2025","5/20/2025","Credit","942.74000","","213277915","SCHWAB BROKERAGE  - MONEYLINK","","ACH","1920.22000","","External Deposit"
"20250515 127635 190 1,660","5/15/2025","5/16/2025","Debit","-1.90000","","213128503","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","977.48000","","POS"
"20250512 127635 88,415 1,659","5/12/2025","5/12/2025","Debit","-884.15000","","212958626","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","979.38000","","External W/D"
"20250509 127635 1,500 1,658","5/9/2025","5/9/2025","Credit","15.00000","","212859437","Knack Payout  - 2025-05-08  ST-O9V6U0T4N3F3","","ACH","1863.53000","","External Deposit"
"20250508 127635 51,685 1,657","5/8/2025","5/8/2025","Debit","-516.85000","","212817086","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","1848.53000","","External W/D"
"20250508 127635 86,537 1,656","5/8/2025","5/8/2025","Credit","865.37000","","212817087","VENMO  - CASHOUT","","ACH","2365.38000","","External Deposit"
"20250428 127635 15,000 1,655","4/28/2025","4/28/2025","Credit","150.00000","","212379372","Iowa State Unive EDI - NBS REFUND","","ACH","1500.01000","","External Deposit"
"20250424 127635 3,916 1,654","4/24/2025","4/24/2025","Debit","-39.16000","","212273835","WAL-MART #0749     AMES           IAUS","Food & Dining","Debit Card","1350.01000","","POS"
"20250423 127635 90 1,653","4/23/2025","4/24/2025","Debit","-0.90000","","212237896","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","1389.17000","","POS"
"20250422 127635 22,898 1,652","4/22/2025","4/22/2025","Debit","-228.98000","","212185687","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","1390.07000","","External W/D"
"20250421 127635 106 1,651","4/21/2025","4/21/2025","Debit","-1.06000","","212143842","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","1619.05000","","POS"
"20250418 127635 1,500 1,650","4/18/2025","4/18/2025","Credit","15.00000","","212054955","KNACK PAYOUT  - 2025-04-17  ST-D6O7G0H0K8H1","","ACH","1620.11000","","External Deposit"
"20250417 127635 30,000 1,649","4/17/2025","4/17/2025","Debit","-300.00000","","211995144","IA DEPT OF REV IA DEPT OF REVENUE - IA REV PAY  4060474","","ACH","1605.11000","","External W/D"
"20250417 127635 78,100 1,648","4/17/2025","4/17/2025","Debit","-781.00000","","211995143","IRS  - USATAXPYMT","","ACH","1905.11000","","External W/D"
"20250414 127635 20,055 1,647","4/14/2025","4/14/2025","Debit","-200.55000","","211861645","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2686.11000","","External W/D"
"20250412 127635 290 1,646","4/12/2025","4/12/2025","Debit","-2.90000","","211801634","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","2886.66000","","POS"
"20250409 127635 265 1,645","4/9/2025","4/10/2025","Debit","-2.65000","","211712475","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","2889.56000","","POS"
"20250407 127635 34,543 1,644","4/7/2025","4/7/2025","Debit","-345.43000","","211579229","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2892.21000","","External W/D"
"20250405 127635 340 1,643","4/5/2025","4/6/2025","Debit","-3.40000","","211547805","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","3237.64000","","POS"
"20250401 127635 24,392 1,642","4/1/2025","4/1/2025","Debit","-243.92000","","211331163","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","3241.04000","","External W/D"
"20250331 127635 50,000 1,641","3/31/2025","3/31/2025","Credit","500.00000","","211314063","MC Deposit","","Deposit","3484.96000","","Descriptive Deposit"
"20250327 127635 190 1,640","3/27/2025","3/28/2025","Debit","-1.90000","","211168911","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","2984.96000","","POS"
"20250326 127635 190 1,639","3/26/2025","3/27/2025","Debit","-1.90000","","211124826","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","2986.86000","","POS"
"20250324 127635 82,511 1,638","3/24/2025","3/24/2025","Debit","-825.11000","","211006962","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","2988.76000","","External W/D"
"20250322 127635 24,212 1,637","3/22/2025","3/23/2025","Debit","-242.12000","","210971475","GOERDT Pmt to 30001026341 EXT","","Misc","3813.87000","","Withdrawal"
"20250321 127635 800 1,636","3/21/2025","3/22/2025","Debit","-8.00000","","210943587","CAFEBEAUDELAIRE 2504 Lincoln Way.  AMES           IAUS","Food & Dining","Debit Card","4055.99000","","POS"
"20250321 127635 106 1,635","3/21/2025","3/21/2025","Debit","-1.06000","","210924157","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","4063.99000","","POS"
"20250318 127635 855 1,634","3/18/2025","3/18/2025","Debit","-8.55000","","210776563","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","4065.05000","","POS"
"20250317 127635 37,900 1,633","3/17/2025","3/18/2025","Debit","-379.00000","","210770010","SUNCNTRY 2005 CARGO RD      MINNEAPOLIS    MNUS","Travel","Debit Card","4073.60000","","POS"
"20250317 127635 1,502 1,632","3/17/2025","3/17/2025","Debit","-15.02000","","210748714","UBER   *TRIP 706 MISSION ST     8005928996     CAUS","Auto & Transport","Debit Card","4452.60000","","POS"
"20250317 127635 60,564 1,631","3/17/2025","3/17/2025","Debit","-605.64000","","210729915","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","4467.62000","","External W/D"
"20250317 127635 25,000 1,630","3/17/2025","3/17/2025","Debit","-250.00000","","210729914","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","5073.26000","","POS"
"20250316 127635 4,394 1,629","3/16/2025","3/16/2025","Debit","-43.94000","","210714084","YOSHI'S FASHION 2 PLEASURE PIER STEAVALON         CAUS","Shopping","Debit Card","5323.26000","","POS"
"20250315 127635 200,000 1,628","3/15/2025","3/15/2025","Credit","2000.00000","","210686200","Xfer From 2071355000","","Deposit","5367.20000","","Deposit"
"20250314 127635 1,500 1,627","3/14/2025","3/14/2025","Credit","15.00000","","210624941","Knack Payout  - 2025-03-13  ST-P9P9D0B4X9Q1","","ACH","3367.20000","","External Deposit"
"20250312 127635 265 1,626","3/12/2025","3/13/2025","Debit","-2.65000","","210568934","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","3352.20000","","POS"
"20250308 127635 490 1,625","3/8/2025","3/9/2025","Debit","-4.90000","","210414286","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","3354.85000","","POS"
"20250308 127635 1,500 1,624","3/8/2025","3/8/2025","Debit","-15.00000","","210396344","VENMO *KAMBER S 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","3359.75000","","POS"
"20250307 127635 1,500 1,623","3/7/2025","3/7/2025","Credit","15.00000","","210344149","Knack Payout  - 2025-03-06  ST-P4X0M1E9P0N7","","ACH","3374.75000","","External Deposit"
"20250302 127635 1,500 1,622","3/2/2025","3/2/2025","Debit","-15.00000","","210134703","VENMO  *KAMBER 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","3359.75000","","POS"
"20250228 127635 14,042 1,621","2/28/2025","2/28/2025","Credit","140.42000","","210009261","VENMO  - CASHOUT","","ACH","3374.75000","","External Deposit"
"20250225 127635 48,582 1,620","2/25/2025","2/25/2025","Debit","-485.82000","","209856154","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","3234.33000","","External W/D"
"20250221 127635 106 1,619","2/21/2025","2/22/2025","Debit","-1.06000","","209729865","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753   CAUS","","Debit Card","3720.15000","","POS"
"20250218 127635 58,338 1,618","2/18/2025","2/18/2025","Debit","-583.38000","","209534460","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","3721.21000","","External W/D"
"20250216 127635 65 1,617","2/16/2025","2/16/2025","Debit","-0.65000","","209470741","PMUSA 989072 AM 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","4304.59000","","POS"
"20250215 127635 4,277 1,616","2/15/2025","2/15/2025","Credit","42.77000","","209459727","PETCO 1683 205 SE 5TH STREET  AMES           IAUS","Pets","Debit Card","4305.24000","","Point Of Sale Deposit"
"20250207 127635 265 1,615","2/7/2025","2/8/2025","Debit","-2.65000","","209102267","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","4262.47000","","POS"
"20250207 127635 28,946 1,614","2/7/2025","2/7/2025","Debit","-289.46000","","209048772","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","4265.12000","","External W/D"
"20250205 127635 340 1,613","2/5/2025","2/6/2025","Debit","-3.40000","","208950716","PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","Auto & Transport","Debit Card","4554.58000","","POS"
"20250203 127635 30,796 1,612","2/3/2025","2/3/2025","Debit","-307.96000","","208757077","DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT","Shopping","ACH","4557.98000","","External W/D"
"20250201 127635 22,500 1,611","2/1/2025","2/1/2025","Debit","-225.00000","","208757076","VENMO  *KAMBER 7700 EASTPORT PARKW8558124430     NYUS","Financial","Debit Card","4865.94000","","POS"
"20250130 127635 240,000 202,501,301,610","1/30/2025","1/30/2025","Debit","-2400.00000","","208488058","External W/D SCHWAB BROKERAGE  - MONEYLINK","","ACH","5090.94000","","External W/D SCHWAB BROKERAGE  - MONEYLINK"
"20250130 127635 180,155 202,501,301,609","1/30/2025","1/30/2025","Credit","1801.55000","","208488059","External Deposit Iowa State Unive EDI - NBS REFUND","","ACH","7490.94000","","External Deposit Iowa State Unive EDI - NBS REFUND"
"20250129 127635 90 202,501,291,608","1/29/2025","1/29/2025","Debit","-0.90000","","208441892","POS PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS","","Debit Card","5689.39000","","POS PMUSA 989027 IO 1100 SPRING ST NW  ATLANTA        GAUS"
